tripduration,starttime,stoptime,start_station_id,start station name,start station latitude,start station longitude,end_station_id,end station name,end station latitude,end station longitude,bike_id,usertype,birth year,gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m
966,2019-03-19 20:05:13.955,2019-03-19 20:21:20.696,2012.0,E 27 St & 1 Ave,40.739445,-73.976806,305.0,E 58 St & 3 Ave,40.76095756,-73.96724467,16014,Customer,1969,0,end,4099649,2565.268195842969,47.11795905946952
1275,2019-03-19 22:22:46.023,2019-03-19 22:44:01.116,495.0,W 47 St & 10 Ave,40.76269882,-73.99301222,252.0,MacDougal St & Washington Sq,40.73226398,-73.99852205,36685,Subscriber,1986,1,start,4099838,17.476959340840985,3425.985680128048
211,2019-03-19 22:40:32.301,2019-03-19 22:44:04.101,3712.0,W 35 St & Dyer Ave,40.754691750226016,-73.99740189313889,495.0,W 47 St & 10 Ave,40.76269882,-73.99301222,36513,Subscriber,1965,1,end,4099838,970.3038119572491,17.476959340840985
975,2019-03-19 22:45:10.303,2019-03-19 23:01:26.110,495.0,W 47 St & 10 Ave,40.76269882,-73.99301222,127.0,Barrow St & Hudson St,40.73172428,-74.00674436,32618,Subscriber,1990,1,start,4099838,17.476959340840985,3640.556588590536
457,2019-03-20 15:16:07.645,2019-03-20 15:23:45.151,458.0,11 Ave & W 27 St,40.751396,-74.005226,446.0,W 24 St & 7 Ave,40.74487634,-73.99529885,33025,Subscriber,1983,2,end,4100503,1144.0785738425172,91.25327123265899
1434,2019-03-23 06:50:47.880,2019-03-23 07:14:42.334,470.0,W 20 St & 8 Ave,40.74345335,-74.00004031,509.0,9 Ave & W 22 St,40.7454973,-74.00197139,36990,Subscriber,1988,2,end,4102556,270.59367093344906,41.10013565109156
1355,2019-03-24 21:33:16.768,2019-03-24 21:55:51.912,438.0,St Marks Pl & 1 Ave,40.72779126,-73.98564945,3258.0,W 27 St & 10 Ave,40.75018156325683,-74.00218427181244,30517,Subscriber,1981,1,start,4106616,35.64381934785636,2885.498022192463
1785,2019-03-24 21:33:17.223,2019-03-24 22:03:03.122,438.0,St Marks Pl & 1 Ave,40.72779126,-73.98564945,3712.0,W 35 St & Dyer Ave,40.754691750226016,-73.99740189313889,30399,Subscriber,1993,1,start,4106616,35.64381934785636,3180.058970303371
1112,2019-03-25 15:11:26.745,2019-03-25 15:29:59.514,323.0,Lawrence St & Willoughby St,40.69236178,-73.98631746,3604.0,Rogers Ave & Sterling St,40.6630619,-73.9538746,37598,Customer,1969,0,start,4103240,84.46370132205573,4297.654574864119
842,2019-03-27 14:26:55.303,2019-03-27 14:40:57.736,490.0,8 Ave & W 33 St,40.751551,-73.993934,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,35610,Subscriber,1953,1,start,4105618,3.898084097312375,2383.019358565841
391,2019-03-27 14:32:52.791,2019-03-27 14:39:24.342,448.0,W 37 St & 10 Ave,40.75660359,-73.9979009,490.0,8 Ave & W 33 St,40.751551,-73.993934,32142,Subscriber,1966,2,end,4105618,655.3401215149473,3.898084097312375
248,2019-03-27 14:36:48.525,2019-03-27 14:40:56.556,490.0,8 Ave & W 33 St,40.751551,-73.993934,448.0,W 37 St & 10 Ave,40.75660359,-73.9979009,28541,Subscriber,1986,1,start,4105618,3.898084097312375,655.3401215149473
618,2019-03-29 09:14:55.183,2019-03-29 09:25:13.623,518.0,E 39 St & 2 Ave,40.74780373,-73.9734419,228.0,E 48 St & 3 Ave,40.7546011026,-73.971878855,36624,Subscriber,1996,1,start,4105516,76.31608911701191,832.734384758586
